tweet_id	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1359350943356174337	yes	no	yes	no	no	no	no
1350165688061669378	no	NA	NA	NA	NA	no	no
1369749539154919425	no	NA	NA	NA	NA	no	no
1350164995686936578	no	NA	NA	NA	NA	no	no
1370008076489789440	yes	no	yes	no	no	no	no
1367726730044207104	yes	no	yes	no	no	no	no
1365684673205084166	no	NA	NA	NA	NA	no	no
1369888483414712322	yes	no	yes	no	no	no	no
1370003879455297540	no	NA	NA	NA	NA	no	no
1354166371526041603	no	NA	NA	NA	NA	no	no
1357381185505288200	no	NA	NA	NA	NA	no	no
1367232803071422464	no	NA	NA	NA	NA	yes	yes
1368585187500691461	yes	NA	yes	yes	yes	yes	yes
